Time,Speaker,Speech Texts
00:00:00,Speaker A,Going to do some questions in partitions.
00:00:05,Speaker A,How to do partitions.
00:00:06,Speaker A,"Okay, so we officially come to chapter five."
00:00:10,Speaker A,We're going to make partitions.
00:00:11,Speaker A,All right?
00:00:12,Speaker A,"So before we do that, I want to see an interesting phenomenon."
00:00:23,Speaker A,All right?
00:00:26,Speaker A,First I want you to tell me what are the results we're looking at?
00:00:31,Speaker A,What's the meaning of the results before we see why they have that result?
00:00:37,Speaker A,"First, I want you to see the results."
00:00:39,Speaker A,I see.
00:00:40,Speaker A,And you want to tell me what we're seeing so far.
00:00:47,Speaker A,"Doug, can you explain the results we're seeing so far?"
00:00:51,Speaker A,No.
00:00:52,Speaker A,"What's the command, Doug?"
00:00:54,Speaker A,Why don't we start with that?
00:00:56,Speaker A,What does I and D mean in there?
00:01:00,Speaker A,ID is the inode.
00:01:01,Speaker A,I know d means what directory.
00:01:06,Speaker A,Right.
00:01:07,Speaker A,So we are viewing the inode of the two folders which are slash and boot.
00:01:17,Speaker A,Right.
00:01:18,Speaker A,So anything weird about the results?
00:01:23,Speaker A,The same.
00:01:24,Speaker A,Are they the same folder?
00:01:28,Speaker A,But their inode are the same?
00:01:30,Speaker A,We just did a quiz.
00:01:31,Speaker A,Right?
00:01:31,Speaker A,You found the same I know they're the same file.
00:01:33,Speaker A,Are they the same file?
00:01:34,Speaker A,Yeah.
00:01:35,Speaker A,You think so?
00:01:36,Speaker A,They're hard linked.
00:01:37,Speaker A,"Well, one of them is the original."
00:01:38,Speaker A,Really?
00:01:38,Speaker A,You hard link entire roof file system to boot folder?
00:01:42,Speaker A,No.
00:01:44,Speaker A,How do we make sense?
00:01:45,Speaker A,Yes.
00:01:45,Speaker A,Aren't they on two different partitions?
00:01:47,Speaker A,"Oh, wow."
00:01:48,Speaker A,Good.
00:01:49,Speaker A,"That's a good VVN, right?"
00:01:51,Speaker A,"So if I show you so, Danielle, tell me, what does that SDA mean?"
00:02:03,Speaker A,Partition for hard drive.
00:02:06,Speaker A,So what's the first partition name going to look like?
00:02:08,Speaker A,SDA 1.
00:02:09,Speaker A,Second.
00:02:13,Speaker A,Good.
00:02:14,Speaker A,So can tell me which partitions are these two folders residing on?
00:02:22,Speaker A,"Okay, so they are just partitions, but they happen to be the host of different folders."
00:02:29,Speaker A,"And when you have partitions, each partition may start the inode from one some servers too."
00:02:37,Speaker A,So it's okay.
00:02:38,Speaker A,So that's why you have the same inode number.
00:02:40,Speaker A,Right.
00:02:41,Speaker A,"So if I ask you a question, can we make hard link on a different partition?"
00:02:48,Speaker A,That's more like an example question.
00:02:50,Speaker A,Can we make a hard link on different partition?
00:02:54,Speaker A,"Well, yes or no?"
00:02:56,Speaker A,I don't think so.
00:02:57,Speaker A,Why not?
00:02:57,Speaker A,"There's two different parts of it, but there's two different partitions."
00:03:03,Speaker A,Can you make a symbolic link on two different partitions?
00:03:09,Speaker A,No.
00:03:10,Speaker A,Do you know it's just a shortcut.
00:03:14,Speaker A,Yeah.
00:03:15,Speaker A,What's wrong with having different play?
00:03:16,Speaker A,I could shortcut to another partition.
00:03:18,Speaker A,Why not?
00:03:22,Speaker A,Anyone has any thoughts?
00:03:27,Speaker A,"Well, you said, can we make hard links on different partitions?"
00:03:31,Speaker A,Yeah.
00:03:31,Speaker A,"You said earlier that they're different hosts, though, with files."
00:03:35,Speaker A,I guess.
00:03:36,Speaker A,"But if you make a hard link on different partitions, are they going to confuse it with the idle numbers?"
00:03:41,Speaker A,Because they have identical idle numbers.
00:03:44,Speaker A,Yeah.
00:03:45,Speaker A,Right.
00:03:46,Speaker A,Because two partitions are going to reuse the numbers.
00:03:48,Speaker A,That's why you don't want to make them on two different partitions.
00:03:51,Speaker A,"But symbolic doesn't matter, right."
00:03:54,Speaker A,The path is different.
00:03:57,Speaker A,"So that's why you can make symbolic files across different partition, but not hard."
00:04:03,Speaker A,Makes sense.
00:04:04,Speaker A,"All right, so now we see the idea of partitions."
00:04:08,Speaker A,Let's talk about more information before we move to partitions.
00:04:13,Speaker A,"Okay, I wanted to catch some memories."
00:04:16,Speaker A,"We know that there's a hard drive, right?"
00:04:18,Speaker A,Assume that's a hard drive.
00:04:21,Speaker A,"We're going to have partition one, partition two, partition three, and so on and so forth."
00:04:26,Speaker A,Right.
00:04:28,Speaker A,"So in this part, the beginning of the partition, we mentioned there are two different types of technology options."
00:04:36,Speaker A,Do you remember what are these two options?
00:04:40,Speaker A,Swap.
00:04:41,Speaker A,Swap?
00:04:42,Speaker A,Swap is a partition.
00:04:44,Speaker A,"You know it that's good, but it's not the beginning part."
00:04:46,Speaker A,"So these are the partitions, right."
00:04:48,Speaker A,The beginning of the part is not a partition.
00:04:51,Speaker A,Is it the NVMe and the PC?
00:04:54,Speaker A,Are you brought the connection type?
00:04:56,Speaker A,"No, not the type of hardware."
00:04:58,Speaker A,No.
00:04:59,Speaker A,"Because remember we mentioned this one has the boolean and the table partitions, right?"
00:05:06,Speaker A,"Because you have partitions, you have to have a record to store the partition information."
00:05:14,Speaker A,Doesn't ring the bell at all.
00:05:15,Speaker A,Nothing.
00:05:17,Speaker A,I don't write it down.
00:05:22,Speaker A,Master block.
00:05:24,Speaker A,Must put record.
00:05:25,Speaker A,Right.
00:05:26,Speaker A,The other new technology rather quiz on it.
00:05:28,Speaker A,GPT.
00:05:30,Speaker A,Good.
00:05:30,Speaker A,"GPT, in case you forgot."
00:05:33,Speaker A,Chad GPT.
00:05:36,Speaker A,Right.
00:05:36,Speaker A,So what's the difference between the two in terms of making partitions?
00:05:45,Speaker A,So how many primary partitions can have here?
00:05:48,Speaker A,Primary partitions?
00:05:49,Speaker A,Four.
00:05:50,Speaker A,Very good.
00:05:50,Speaker A,Four primary partitions.
00:05:51,Speaker A,How about here?
00:05:53,Speaker A,Technically unlimited.
00:05:55,Speaker A,Okay.
00:05:55,Speaker A,Yeah.
00:05:55,Speaker A,So normally it's 128.
00:05:57,Speaker A,Technically unlimited.
00:05:58,Speaker A,Right.
00:05:59,Speaker A,So four.
00:06:00,Speaker A,But can you have more than four partitions here?
00:06:03,Speaker A,How do we do it then?
00:06:05,Speaker A,Extend.
00:06:06,Speaker A,Good.
00:06:07,Speaker A,"Tend to be partition, right?"
00:06:08,Speaker A,How many?
00:06:10,Speaker A,How many extended participants?
00:06:12,Speaker A,Six.
00:06:17,Speaker A,As many as we can.
00:06:18,Speaker A,"Oh, God."
00:06:19,Speaker A,We're now looking at this term 64.
00:06:22,Speaker A,Okay.
00:06:23,Speaker A,I think we guys will forget it.
00:06:24,Speaker A,"This one's, the middle one, anyone remember?"
00:06:31,Speaker A,"Because the 64 is another term, it's a logical one."
00:06:37,Speaker A,So we have one extended partition.
00:06:39,Speaker A,Right.
00:06:40,Speaker A,"On top of that, you're going to have a lot of many, many logical partitions."
00:06:45,Speaker A,"It could be 32, 64, C, three."
00:06:47,Speaker A,Right.
00:06:49,Speaker A,Does that make sense?
00:06:50,Speaker A,The structure?
00:06:51,Speaker A,"You do want to remember the digital, the difference because later we're going to see that again for MBR four partitions, right?"
00:07:01,Speaker A,One of the four can be converted to extended partitions.
00:07:06,Speaker A,"On top of the tended partition, you can have certain number of logical partitions."
00:07:11,Speaker A,Right?
00:07:13,Speaker A,Makes sense.
00:07:15,Speaker A,Because there's differences.
00:07:16,Speaker A,"When we make partitions, these differences will be reflected in a command that we gave a limit on logical partition."
00:07:28,Speaker A,"Logical, 32 or 63 sometimes depends."
00:07:35,Speaker A,Makes sense so far.
00:07:38,Speaker A,"All right, so let's take a look."
00:07:40,Speaker A,"So of course, this one is the way to see it, right?"
00:07:45,Speaker A,So another major command I will learn is code f disk into that L is a listing information number partition.
00:07:54,Speaker A,Okay.
00:07:54,Speaker A,So what drive are we listing so far for this command?
00:08:00,Speaker A,Which drive we're listing as the information?
00:08:07,Speaker A,The second drive.
00:08:08,Speaker A,The second hard drive.
00:08:09,Speaker A,Right.
00:08:10,Speaker A,"So we have nothing on there, right."
00:08:12,Speaker A,"Remember when you created your VM, you have the second drive."
00:08:17,Speaker A,"We didn't do anything on it, right?"
00:08:19,Speaker A,Yeah.
00:08:20,Speaker A,"After this chapter, we're going to start doing many things on there, even on the exam, the homework."
00:08:25,Speaker A,Okay?
00:08:26,Speaker A,So here the type.
00:08:29,Speaker A,"When this is a Dos is MBO, I can convert to GPT so I can show you how to do it."
00:08:38,Speaker A,"So now if I work on the drive, I just do have disk without the app."
00:08:44,Speaker A,"Okay, here's one thing."
00:08:46,Speaker A,Today I will mention a few mistakes.
00:08:48,Speaker A,"When people do the exam, when you make a partition, you always work on the hard drive."
00:08:56,Speaker A,"You don't work on SDB one, SDB Two SDB you make on the drive and then make a partition on top of it."
00:09:01,Speaker A,"So the exam people say, oh, why?"
00:09:03,Speaker A,I keep got around.
00:09:04,Speaker A,They type SDB one SDB because they want to make a partition SDB three.
00:09:08,Speaker A,"But you don't directly like Fdisk on a partition, you Fdisk on the drive."
00:09:15,Speaker A,"I see that every year in the exam, they're nervous."
00:09:19,Speaker A,"They didn't do a practice telling me that didn't work, didn't work."
00:09:22,Speaker A,"I said, I know why it didn't work."
00:09:24,Speaker A,They sent me a jerk because I know.
00:09:26,Speaker A,I know how it didn't work.
00:09:27,Speaker A,I didn't tell them why it didn't work.
00:09:29,Speaker A,"But in exam, I couldn't tell you."
00:09:30,Speaker A,That's why I'm telling you right now.
00:09:32,Speaker A,"Don't write SDB one, two, three."
00:09:34,Speaker A,Just SDB right now.
00:09:40,Speaker A,So one command I use a lot SM is to print all the possible options.
00:09:45,Speaker A,There are a lot of options.
00:09:47,Speaker A,So let's create a GPT partition just to show right.
00:09:52,Speaker A,You have a tab g?
00:09:54,Speaker A,I make a GPT partition.
00:09:56,Speaker A,Now I tap.
00:09:57,Speaker A,W.
00:09:59,Speaker A,What does w mean?
00:10:00,Speaker A,Save.
00:10:01,Speaker A,Very good.
00:10:02,Speaker A,"Save and quit, right?"
00:10:03,Speaker A,"If I do a Q, quit, right?"
00:10:06,Speaker A,Good.
00:10:06,Speaker A,So now I can save it.
00:10:09,Speaker A,I want to show the difference.
00:10:14,Speaker A,Do you see that?
00:10:15,Speaker A,Change to GPT.
00:10:18,Speaker A,"Okay, now let's back to MBR, because I want to show both again for help."
00:10:26,Speaker A,"And if you see the dos is O letter O, then W you've got it to be Dos."
00:10:35,Speaker A,"So far, so good."
00:10:38,Speaker A,"And in exam, I may want you to create either Dos or GBDs."
00:10:44,Speaker A,Make sure you do the right?
00:10:45,Speaker A,Yes.
00:10:47,Speaker A,"When you press M, how did you do that?"
00:10:51,Speaker A,"So M is whenever you come in, like now, I'm going to make purchase."
00:10:54,Speaker A,"I'm going to go to the window of this, right?"
00:10:58,Speaker A,So here there are many options.
00:11:01,Speaker A,A lot of times you may not remember.
00:11:03,Speaker A,You only need to remember a few.
00:11:05,Speaker A,"But in a lab example, it's open book anyway."
00:11:07,Speaker A,So just touch M.
00:11:10,Speaker A,It's going to show you all the options.
00:11:12,Speaker A,There are many options.
00:11:14,Speaker A,So I want to tell me which one is going to create a new partition.
00:11:22,Speaker A,N.
00:11:22,Speaker A,Very good.
00:11:23,Speaker A,"N stands for new, right?"
00:11:25,Speaker A,"New partition, right?"
00:11:27,Speaker A,So now it's so easy.
00:11:28,Speaker A,Let's go.
00:11:30,Speaker A,Let's help N.
00:11:36,Speaker A,Can you make sense about what do we see here?
00:11:44,Speaker A,Why do we see this?
00:11:47,Speaker A,Now I will quit I will do a different.
00:11:57,Speaker A,I will do a new as well.
00:12:00,Speaker A,I want you to see the difference between the two.
00:12:05,Speaker A,Why there's a difference and what caused that difference.
00:12:10,Speaker A,I know you now have that answer.
00:12:12,Speaker A,Yes.
00:12:12,Speaker A,MBR and GPT.
00:12:13,Speaker A,Very good.
00:12:14,Speaker A,Now why does this one start with four?
00:12:17,Speaker A,"The GPT that you start with, why not start with one?"
00:12:21,Speaker A,Didn't we already put them in there?
00:12:23,Speaker A,Put what in there?
00:12:23,Speaker A,We made them partitions.
00:12:25,Speaker A,We made what?
00:12:25,Speaker A,Partition?
00:12:26,Speaker A,We created the virtual machine.
00:12:28,Speaker A,How many partitions?
00:12:29,Speaker A,We created three.
00:12:31,Speaker A,"We created three, right?"
00:12:33,Speaker A,"The slash, boot, food, fi and root."
00:12:37,Speaker A,So that's why I start from four.
00:12:38,Speaker A,"And it was 128 for TPT, right?"
00:12:43,Speaker A,And for SDB.
00:12:50,Speaker A,For SDB.
00:12:52,Speaker A,It's because it's an MBR.
00:12:55,Speaker A,They tell us to have create a permit partition or an extended partition.
00:13:02,Speaker A,Makes sense.
00:13:04,Speaker A,So now let's start with the permit partition.
00:13:07,Speaker A,Okay.
00:13:08,Speaker A,"Again, if you want to do a permit partition now you can just hit Enter or you type P."
00:13:12,Speaker A,"Either one is fine because default, they want to tell default is one."
00:13:15,Speaker A,Right?
00:13:17,Speaker A,Okay.
00:13:18,Speaker A,"So now we can choose a number, any number you want."
00:13:21,Speaker A,It doesn't have to be one.
00:13:23,Speaker A,Could be either 1234.
00:13:25,Speaker A,Either one.
00:13:25,Speaker A,"But now five now, right?"
00:13:28,Speaker A,"Lendon, why don't we pick a number?"
00:13:30,Speaker A,Three.
00:13:31,Speaker A,Okay.
00:13:31,Speaker A,Why don't we pick one for the time they don't want three?
00:13:35,Speaker A,Because easy.
00:13:36,Speaker A,I don't type right.
00:13:37,Speaker A,I just can't answer.
00:13:40,Speaker A,Okay.
00:13:40,Speaker A,The next one is also critical.
00:13:43,Speaker A,After you make a number selection.
00:13:45,Speaker A,"Normally, you don't make a choice here because the number here show that the first sector available to create partition."
00:13:54,Speaker A,"Unless you're really good, you know how to calculate."
00:13:56,Speaker A,You can change the number in our exam.
00:13:59,Speaker A,You know how to change it?
00:14:00,Speaker A,We start with the default one.
00:14:02,Speaker A,"Okay, just hit enter."
00:14:08,Speaker A,"Okay, now we can specify the size of the partition that we want."
00:14:14,Speaker A,"So Linda, what the size?"
00:14:15,Speaker A,You want the default?
00:14:19,Speaker A,"No, we don't want the default too much."
00:14:21,Speaker A,I want to create many partitions.
00:14:23,Speaker A,I don't want to quit everything.
00:14:25,Speaker A,Okay.
00:14:26,Speaker A,Because it's using all maybe 600 Mac.
00:14:28,Speaker A,"Yeah, that works."
00:14:29,Speaker A,"Okay, so again, this one's pretty good."
00:14:35,Speaker A,600 Mac.
00:14:38,Speaker A,"Many, many times people forgot the plus."
00:14:42,Speaker A,Because that's addition to this.
00:14:44,Speaker A,Right.
00:14:45,Speaker A,600 math.
00:14:47,Speaker A,"Again, I see that exam many times people struggle."
00:14:51,Speaker A,I wouldn't work.
00:14:51,Speaker A,It wouldn't work.
00:14:52,Speaker A,Wouldn't work.
00:14:53,Speaker A,Raise a hand.
00:14:54,Speaker A,Can't help me.
00:14:55,Speaker A,Again I say sorry.
00:14:56,Speaker A,I know the answer.
00:14:58,Speaker A,I mentioned that many times.
00:15:00,Speaker A,I just couldn't tell you.
00:15:03,Speaker A,Right.
00:15:03,Speaker A,"Again, don't forget to pause."
00:15:05,Speaker A,"If you forgot a pause, it's not going to work."
00:15:07,Speaker A,There's also capital M.
00:15:10,Speaker A,"All right, then enter."
00:15:13,Speaker A,"All right, remove the signature."
00:15:15,Speaker A,That's fine because I did something already.
00:15:18,Speaker A,So now let's see the results.
00:15:21,Speaker A,We made a partition already.
00:15:22,Speaker A,So the P stands for print.
00:15:25,Speaker A,We made a partition.
00:15:27,Speaker A,Makes sense.
00:15:29,Speaker A,But we have not saved that yet.
00:15:32,Speaker A,"If you want to save it, you do the W."
00:15:36,Speaker A,Or you can continue working on it.
00:15:38,Speaker A,Right.
00:15:39,Speaker A,So I just do a w.
00:15:40,Speaker A,This come right?
00:15:42,Speaker A,FTP again showed up.
00:15:45,Speaker A,"If in an exam homework, when you made a mistake, you do not want to save it."
00:15:50,Speaker A,Don't panic.
00:15:51,Speaker A,Just pick two and nothing has happened.
00:15:55,Speaker A,Like you went to Las Vegas.
00:15:57,Speaker A,Everything stays there no memory.
00:16:00,Speaker A,All right.
00:16:02,Speaker A,Now let's make a new partition.
00:16:04,Speaker A,And again new partition.
00:16:05,Speaker A,Right.
00:16:07,Speaker A,Do you want to try the extended partition this time?
00:16:10,Speaker A,Because we had a primary.
00:16:11,Speaker A,Why don't we try something different?
00:16:12,Speaker A,Right?
00:16:13,Speaker A,"So this time, because extended is a different one."
00:16:17,Speaker A,"We have letter E, power."
00:16:21,Speaker A,Two is fine.
00:16:22,Speaker A,"I can choose three, four, right?"
00:16:23,Speaker A,Any number.
00:16:23,Speaker A,Right.
00:16:24,Speaker A,But I cannot use one anymore because one was taken.
00:16:27,Speaker A,Right.
00:16:28,Speaker A,Let's do two.
00:16:30,Speaker A,Default doesn't change.
00:16:31,Speaker A,Right again.
00:16:33,Speaker A,"Linda, what size do you want?"
00:16:36,Speaker A,Let's go 100 megabytes.
00:16:37,Speaker A,How many?
00:16:38,Speaker A,Hundred?
00:16:40,Speaker A,Yeah.
00:16:41,Speaker A,You're very stingy.
00:16:44,Speaker A,"All right, let's show it later."
00:16:47,Speaker A,You're going to regret that decision.
00:16:48,Speaker A,I'll tell you why.
00:16:50,Speaker A,All right.
00:16:51,Speaker A,"We had an extended, right?"
00:16:53,Speaker A,Can we use the extended partition for anything?
00:16:57,Speaker A,"Yes, we could."
00:16:58,Speaker A,Logical partition.
00:16:59,Speaker A,"Logical, right."
00:17:00,Speaker A,Good.
00:17:01,Speaker A,But we cannot really work on the extended partition if we do not have logicals.
00:17:05,Speaker A,Because the folder has to be on logical.
00:17:07,Speaker A,So you have extended.
00:17:09,Speaker A,You've never done the job.
00:17:10,Speaker A,You have to continue to create new partitions.
00:17:13,Speaker A,Now do you see the difference?
00:17:16,Speaker A,What's the difference?
00:17:18,Speaker A,"To add logicals, it has to be five or greater."
00:17:21,Speaker A,Yeah.
00:17:21,Speaker A,"So the logical showed up, but the E disappeared."
00:17:25,Speaker A,Why the e disappeared.
00:17:28,Speaker A,I have one for it.
00:17:29,Speaker A,The program is smart.
00:17:31,Speaker A,"Okay, let's make a logical partition."
00:17:35,Speaker A,Right.
00:17:38,Speaker A,Default.
00:17:39,Speaker A,It's good.
00:17:40,Speaker A,So what a size you want?
00:17:44,Speaker A,We don't have very much data to use.
00:17:49,Speaker A,Five.
00:17:50,Speaker A,"Okay, come and make a one on 100."
00:17:53,Speaker A,We have to change the extended partition.
00:17:58,Speaker A,"I know, but first can we make more than 100?"
00:18:00,Speaker A,I don't think so.
00:18:01,Speaker A,No.
00:18:01,Speaker A,So what Lenton did was that when he made that extended partition.
00:18:06,Speaker A,"Meaning that in the future you may have 2030 partitions, but their total size is going to be 100."
00:18:14,Speaker A,So you didn't do a wonderful planning.
00:18:17,Speaker A,But that's okay.
00:18:18,Speaker A,Let's make 50.
00:18:20,Speaker A,I want to show the idea.
00:18:22,Speaker A,That's fine.
00:18:24,Speaker A,"So that's why in the future when you make extended partitions, you want to plan up time to say, oh, I can create five partition, each one with two gig."
